#GPU,GPU type,Calc type,Topology,Time,Performance
1,MI250,RIHF + RIMP2 Gradient, 10, 23.021582, 9.934
1,MI250,RIMP2 Energy, 1, 0.633466, 0.005516
1,MI250,RIMP2 Energy, 2, 0.878038, 0.05391
1,MI250,RIMP2 Energy, 3, 1.129101, 0.2287
1,MI250,RIMP2 Energy, 4, 1.658333, 0.5506
1,MI250,RIMP2 Energy, 5, 2.218362, 1.126
1,MI250,RIMP2 Energy, 6, 3.21786, 1.794
1,MI250,RIMP2 Energy, 7, 4.382151, 2.698
1,MI250,RIMP2 Energy, 8, 5.804238, 3.405
1,MI250,RIMP2 Energy, 9, 7.907683, 3.918
1,MI250,RIMP2 Energy, 10, 9.686427, 5.076
1,MI250,RIMP2 Energy, 11, 12.245893, 6.019
1,MI250,RIMP2 Energy, 12, 15.461485, 6.855
1,MI250,RIMP2 Energy, 13, 20.683535, 7.357
1,MI250,RIMP2 Energy, 14, 23.896254, 8.723
1,MI250,RIMP2 Energy, 15, 29.667233, 9.63
1,V100,HF Energy, 1, 0.149138, 0.0007925
1,V100,HF Energy, 2, 0.350908, 0.002012
1,V100,HF Energy, 3, 0.654246, 0.003131
1,V100,HF Energy, 4, 1.080258, 0.004155000000000001
1,V100,HF Energy, 5, 1.623045, 0.005148
1,V100,HF Energy, 6, 2.245936, 0.006222
1,V100,HF Energy, 7, 3.038196, 0.007135
1,V100,HF Energy, 8, 3.950927, 0.008046
1,V100,HF Energy, 9, 4.855599, 0.009193
1,V100,HF Energy, 10, 5.869494, 0.01032
1,V100,HF Energy, 11, 7.0661, 0.0113
1,V100,HF Energy, 12, 8.341279, 0.01234
1,V100,HF Energy, 13, 9.787292, 0.01328
1,V100,HF Energy, 14, 11.301031, 0.01429
1,V100,HF Energy, 15, 12.930788, 0.01528
1,V100,HF Gradient, 1, 0.24525, 0.0004852
1,V100,HF Gradient, 2, 0.6209, 0.001144
1,V100,HF Gradient, 3, 1.221889, 0.001687
1,V100,HF Gradient, 4, 2.051274, 0.002202
1,V100,HF Gradient, 5, 3.042623, 0.002763
1,V100,HF Gradient, 6, 4.212311, 0.003338
1,V100,HF Gradient, 7, 5.719631, 0.003813
1,V100,HF Gradient, 8, 7.305796, 0.004378
1,V100,HF Gradient, 9, 8.950727, 0.005018
1,V100,HF Gradient, 10, 10.769723, 0.005657
1,V100,HF Gradient, 11, 12.883985, 0.006237
1,V100,HF Gradient, 12, 15.234738, 0.006795
1,V100,HF Gradient, 13, 17.747576, 0.007369
1,V100,HF Gradient, 14, 20.376397, 0.007972
1,V100,HF Gradient, 15, 22.999463, 0.008645
1,V100,RIHF Energy, 1, 0.03576, 0.2074
1,V100,RIHF Energy, 2, 0.079956, 0.9069
1,V100,RIHF Energy, 3, 0.153801, 1.96
1,V100,RIHF Energy, 4, 0.32852, 2.617
1,V100,RIHF Energy, 5, 0.595667, 3.31
1,V100,RIHF Energy, 6, 1.030187, 3.804
1,V100,RIHF Energy, 7, 1.676868, 4.2
1,V100,RIHF Energy, 8, 2.721642, 4.314
1,V100,RIHF Gradient, 1, 0.06186, 0.13069999999999998
1,V100,RIHF Gradient, 2, 0.117898, 0.6683
1,V100,RIHF Gradient, 3, 0.211788, 1.546
1,V100,RIHF Gradient, 4, 0.419391, 2.228
1,V100,RIHF Gradient, 5, 0.739655, 2.897
1,V100,RIHF Gradient, 6, 1.250864, 3.405
1,V100,RIHF Gradient, 7, 1.998716, 3.829
1,V100,RIHF Gradient, 8, 3.192992, 3.996
1,V100,RIHF + RIMP2 Energy, 1, 0.045798, 0.2357
1,V100,RIHF + RIMP2 Energy, 2, 0.119043, 1.001
1,V100,RIHF + RIMP2 Energy, 3, 0.261222, 2.135
1,V100,RIHF + RIMP2 Energy, 4, 0.612096, 2.889
1,V100,RIHF + RIMP2 Energy, 5, 1.231875, 3.622
1,V100,RIHF + RIMP2 Energy, 6, 2.345057, 4.039
1,V100,RIHF + RIMP2 Energy, 7, 4.166486, 3.963
1,V100,RIHF + RIMP2 Energy, 8, 6.980711, 4.074
1,V100,RIHF + RIMP2 Gradient, 1, 0.084268, 0.3157
1,V100,RIHF + RIMP2 Gradient, 2, 0.231501, 1.274
1,V100,RIHF + RIMP2 Gradient, 3, 0.616023, 2.269
1,V100,RIHF + RIMP2 Gradient, 4, 1.59195, 2.824
1,V100,RIHF + RIMP2 Gradient, 5, 3.436577, 3.325
1,V100,RIHF + RIMP2 Gradient, 6, 6.656289, 3.745
1,V100,RIHF + RIMP2 Gradient, 7, 12.625778, 3.783
1,V100,RIHF + RIMP2 Gradient, 8, 21.479399, 3.951
1,V100,RIMP2 Energy, 1, 0.156248, 0.02236
1,V100,RIMP2 Energy, 2, 0.370383, 0.1278
1,V100,RIMP2 Energy, 3, 0.742326, 0.3479
1,V100,RIMP2 Energy, 4, 1.360832, 0.671
1,V100,RIMP2 Energy, 5, 2.260238, 1.106
1,V100,RIMP2 Energy, 6, 3.590619, 1.608
1,V100,RIMP2 Energy, 7, 5.239442, 1.901
1,V100,RIMP2 Energy, 8, 7.665085, 2.254
1,V100,RIMP2 Energy, 9, 10.605082, 2.719
1,V100,RIMP2 Energy, 10, 14.568722, 3.053
1,V100,RIMP2 Energy, 11, 19.861815, 3.401
1,V100,RIMP2 Energy, 12, 26.882286, 3.684
1,V100,RIMP2 Energy, 13, 35.556043, 3.955
1,V100,RIMP2 Energy, 14, 47.209409, 4.172
1,V100,RIMP2 Energy, 15, 65.547929, 4.119
1,V100,RIMP2 Gradient, 1, 0.494748, 0.02339
1,V100,RIMP2 Gradient, 2, 1.27096, 0.1168
1,V100,RIMP2 Gradient, 3, 2.704515, 0.2908
1,V100,RIMP2 Gradient, 4, 5.188944, 0.5257999999999999
1,V100,RIMP2 Gradient, 5, 8.619995, 0.8547
1,V100,RIMP2 Gradient, 6, 13.675161, 1.247
1,V100,RIMP2 Gradient, 7, 21.296064, 1.553
1,V100,RIMP2 Gradient, 8, 31.760816, 1.907
1,V100,RIMP2 Gradient, 9, 46.268851, 2.254
1,V100,RIMP2 Gradient, 10, 65.272495, 2.611
1,V100,RIMP2 Gradient, 11, 93.992719, 2.84
1,V100,RIMP2 Gradient, 12, 131.218683, 3.098
1,V100,RIMP2 Gradient, 13, 187.597516, 3.168
1,V100,RIMP2 Gradient, 14, 253.103008, 3.372
1,V100,RIMP2 Gradient, 15, 343.069031, 3.485
2,A100,HF Energy, 1, 0.092025, 0.001285
2,A100,HF Energy, 2, 0.155714, 0.004537
2,A100,HF Energy, 3, 0.258449, 0.007929
2,A100,HF Energy, 4, 0.410786, 0.01093
2,A100,HF Energy, 5, 0.598757, 0.01396
2,A100,HF Energy, 6, 0.796567, 0.01755
2,A100,HF Energy, 7, 1.062359, 0.02041
2,A100,HF Energy, 8, 1.358459, 0.0234
2,A100,HF Energy, 9, 1.653902, 0.02699
2,A100,HF Energy, 10, 1.982209, 0.03055
2,A100,HF Energy, 11, 2.354945, 0.03392
2,A100,HF Energy, 12, 2.773837, 0.0371
2,A100,HF Energy, 13, 3.230596, 0.04024
2,A100,HF Energy, 14, 3.69779, 0.04366
2,A100,HF Energy, 15, 4.198473, 0.04707
2,A100,HF Gradient, 1, 0.15658, 0.0007656
2,A100,HF Gradient, 2, 0.664647, 0.001076
2,A100,HF Gradient, 3, 0.404635, 0.005126
2,A100,HF Gradient, 4, 0.648313, 0.00701
2,A100,HF Gradient, 5, 0.939933, 0.008999
2,A100,HF Gradient, 6, 1.269946, 0.01114
2,A100,HF Gradient, 7, 1.732012, 0.01267
2,A100,HF Gradient, 8, 2.178736, 0.01477
2,A100,HF Gradient, 9, 2.666053, 0.01695
2,A100,HF Gradient, 10, 3.168873, 0.01935
2,A100,HF Gradient, 11, 3.759322, 0.02151
